sample_id,sample_category,spectrum_state,auc_320_480,abs_max,lambda_max_nm,centroid_nm,fwhm_nm,abs_384_nm,abs_400_nm,ratio_abs_384_400,auc_320_380,auc_380_440,auc_ratio_320_380_over_380_440,second_derivative_384,second_derivative_400
Standard 4,standard,total,5198824.0,47630.0,382.9,389.88038579773047,159.0,47573.0,44006.99999999999,1.0810325630013409,2238585.0,2274410.0,0.9842486622904402,-20.499999999999545,-19.499999999999886
Standard 5,standard,oxidized,4951668.0,49740.0,383.9,389.9845791250133,159.0,49740.0,46223.99999999999,1.0760643821391487,2057730.0,2346670.0,0.876872333988162,-36.999999999999886,-38.49999999999966
Standard 5,standard,reduced,2416933.5,19600.0,373.9,389.8566703693853,,19120.999999999996,17644.999999999996,1.083649759138566,1085015.0,944335.0,1.148972557408123,-3.9999999999997726,-9.749999999999943
Standard 5,standard,total,3137137.5,29020.0,381.9,389.76187915859896,159.0,28995.0,26823.999999999993,1.0809349835967792,1349585.0,1383210.0,0.9756906037405745,-16.499999999999773,-23.749999999999716
Standard 6,standard,oxidized,2745842.5,27630.0,383.9,389.9758213137023,159.0,27630.0,25694.999999999993,1.0753064798598952,1140250.0,1303820.0,0.8745455661057508,-22.249999999999943,-17.750000000000057
Standard 6,standard,reduced,1294752.0,10340.0,375.9,391.98250495337146,,10074.999999999998,9458.599999999999,1.0651682067113526,555441.5,514107.0,1.0804005780897752,-3.499999999999659,-3.4749999999999943
Standard 6,standard,total,1588693.5,14540.0,383.9,390.5339507555158,159.0,14537.0,13525.999999999996,1.0747449356794325,672879.0,701654.5,0.9589890751074781,-11.74999999999983,-9.749999999999943
Standard 7,standard,oxidized,1956745.0,19710.0,383.9,390.22019220474647,159.0,19710.0,18342.999999999996,1.0745243417107346,807617.0,931735.5,0.8667878383940507,-28.749999999999716,-10.250000000000057
Standard 7,standard,reduced,1238661.5,9413.0,376.9,395.3413929168464,,9224.199999999999,8993.699999999999,1.025629051447124,493319.5,501995.5,0.9827169765466025,1.300000000000125,-4.949999999999932
Standard 7,standard,total,1047532.5,9563.0,383.9,391.33171740369255,159.0,9562.1,8964.799999999997,1.066627253257184,435436.0,466193.0,0.9340251784132323,-12.874999999999858,-9.825000000000017
